Player,Team,Salary
B Laughlin,Chennai Super Kings,"$20,000"
CH Morris,Chennai Super Kings,"$625,000"
DJ Bravo,Chennai Super Kings,"$200,000"
JA Morkel,Chennai Super Kings,"$500,000"
JO Holder,Chennai Super Kings,"$20,000"
M Vijay,Chennai Super Kings,"$900,000"
MEK Hussey,Chennai Super Kings,"$425,000"
MS Dhoni,Chennai Super Kings,"$3,000,000"
R Ashwin,Chennai Super Kings,"$850,000"
RA Jadeja,Chennai Super Kings,"$2,000,000"
S Badrinath,Chennai Super Kings,"$800,000"
SK Raina,Chennai Super Kings,"$1,300,000"
WP Saha,Chennai Super Kings,"$100,000"
AB Agarkar,Delhi Daredevils,"$210,000"
AD Russell,Delhi Daredevils,"$450,000"
BMAJ Mendis,Delhi Daredevils,"$725,000"
DA Warner,Delhi Daredevils,"$750,000"
DPMD Jayawardene,Delhi Daredevils,"$1,400,000"
IK Pathan,Delhi Daredevils,"$1,900,000"
J Botha,Delhi Daredevils,"$950,000"
M Morkel,Delhi Daredevils,"$475,000"
NV Ojha,Delhi Daredevils,"$270,000"
RE van der Merwe,Delhi Daredevils,"$50,000"
V Sehwag,Delhi Daredevils,"$1,800,000"
AC Gilchrist,Kings XI Punjab,"$900,000"
AD Mascarenhas,Kings XI Punjab,"$100,000"
Azhar Mahmood,Kings XI Punjab,"$200,000"
DA Miller,Kings XI Punjab,"$100,000"
DJ Hussey,Kings XI Punjab,"$1,400,000"
LA Pomersbach,Kings XI Punjab,"$300,000"
MS Gony,Kings XI Punjab,"$500,000"
P Awana,Kings XI Punjab,"$60,000"
P Kumar,Kings XI Punjab,"$800,000"
PP Chawla,Kings XI Punjab,"$900,000"
RJ Harris,Kings XI Punjab,"$325,000"
SE Marsh,Kings XI Punjab,"$400,000"
B Lee,Kolkata Knight Riders,"$400,000"
BB McCullum,Kolkata Knight Riders,"$900,000"
EJG Morgan,Kolkata Knight Riders,"$350,000"
G Gambhir,Kolkata Knight Riders,"$2,400,000"
JH Kallis,Kolkata Knight Riders,"$1,100,000"
L Balaji,Kolkata Knight Riders,"$500,000"
MK Tiwary,Kolkata Knight Riders,"$475,000"
R McLaren,Kolkata Knight Riders,"$50,000"
RN ten Doeschate,Kolkata Knight Riders,"$150,000"
SMSM Senanayake,Kolkata Knight Riders,"$625,000"
SP Narine,Kolkata Knight Riders,"$700,000"
YK Pathan,Kolkata Knight Riders,"$2,100,000"
DR Smith,Mumbai Indians,"$100,000"
GJ Maxwell,Mumbai Indians,"$1,000,000"
Harbhajan Singh,Mumbai Indians,"$1,300,000"
JDP Oram,Mumbai Indians,"$50,000"
KA Pollard,Mumbai Indians,"$900,000"
KD Karthik,Mumbai Indians,"$1,200,000"
MG Johnson,Mumbai Indians,"$300,000"
MM Patel,Mumbai Indians,"$700,000"
NM Coulter-Nile,Mumbai Indians,"$450,000"
PP Ojha,Mumbai Indians,"$800,000"
RG Sharma,Mumbai Indians,"$2,000,000"
RT Ponting,Mumbai Indians,"$400,000"
SL Malinga,Mumbai Indians,"$1,100,000"
SR Tendulkar,Mumbai Indians,"$1,800,000"
AB Dinda,Pune Warriors,"$375,000"
AD Mathews,Pune Warriors,"$950,000"
AJ Finch,Pune Warriors,"$300,000"
AM Nayar,Pune Warriors,"$675,000"
B Kumar,Pune Warriors,"$60,000"
BAW Mendis,Pune Warriors,"$725,000"
KW Richardson,Pune Warriors,"$700,000"
LJ Wright,Pune Warriors,"$200,000"
LRPL Taylor,Pune Warriors,"$1,000,000"
MN Samuels,Pune Warriors,"$400,000"
MR Marsh,Pune Warriors,"$290,000"
R Sharma,Pune Warriors,"$60,000"
RV Uthappa,Pune Warriors,"$2,100,000"
WD Parnell,Pune Warriors,"$160,000"
Yuvraj Singh,Pune Warriors,"$1,800,000"
AM Rahane,Rajasthan Royals,"$60,000"
BJ Hodge,Rajasthan Royals,"$475,000"
GB Hogg,Rajasthan Royals,"$180,000"
JP Faulkner,Rajasthan Royals,"$400,000"
K Cooper,Rajasthan Royals,"$50,000"
OA Shah,Rajasthan Royals,"$200,000"
R Dravid,Rajasthan Royals,"$500,000"
S Sreesanth,Rajasthan Royals,"$900,000"
SR Watson,Rajasthan Royals,"$1,300,000"
SW Tait,Rajasthan Royals,"$300,000"
A Mithun,Royal Challengers Bangalore,"$260,000"
AB de Villiers,Royal Challengers Bangalore,"$1,100,000"
AB McDonald,Royal Challengers Bangalore,"$100,000"
CA Pujara,Royal Challengers Bangalore,"$700,000"
CH Gayle,Royal Challengers Bangalore,"$2,000,000"
DT Christian,Royal Challengers Bangalore,"$900,000"
JD Unadkat,Royal Challengers Bangalore,"$525,000"
M Kartik,Royal Challengers Bangalore,"$400,000"
M Muralitharan,Royal Challengers Bangalore,"$220,000"
MC Henriques,Royal Challengers Bangalore,"$300,000"
R Rampaul,Royal Challengers Bangalore,"$290,000"
R Vinay Kumar,Royal Challengers Bangalore,"$1,000,000"
RP Singh,Royal Challengers Bangalore,"$600,000"
SS Tiwary,Royal Challengers Bangalore,"$1,600,000"
TM Dilshan,Royal Challengers Bangalore,"$650,000"
V Kohli,Royal Challengers Bangalore,"$1,800,000"
Z Khan,Royal Challengers Bangalore,"$900,000"
A Mishra,Sunrisers Hyderabad,"$300,000"
CL White,Sunrisers Hyderabad,"$1,100,000"
DJG Sammy,Sunrisers Hyderabad,"$425,000"
DW Steyn,Sunrisers Hyderabad,"$1,200,000"
I Sharma,Sunrisers Hyderabad,"$450,000"
KC Sangakkara,Sunrisers Hyderabad,"$700,000"
NLTC Perera,Sunrisers Hyderabad,"$650,000"
PA Patel,Sunrisers Hyderabad,"$650,000"
S Dhawan,Sunrisers Hyderabad,"$300,000"
