Player,Team,Salary
DE Bollinger,Chennai Super Kings,"$700,000"
DJ Bravo,Chennai Super Kings,"$200,000"
JA Morkel,Chennai Super Kings,"$675,000"
Joginder Sharma,Chennai Super Kings,"$150,000"
MEK Hussey,Chennai Super Kings,"$425,000"
MS Dhoni,Chennai Super Kings,"$1,500,000"
R Ashwin,Chennai Super Kings,"$850,000"
S Badrinath,Chennai Super Kings,"$800,000"
S Randiv,Chennai Super Kings,"$80,000"
SB Styris,Chennai Super Kings,"$200,000"
SK Raina,Chennai Super Kings,"$650,000"
WP Saha,Chennai Super Kings,"$100,000"
A Mishra,Deccan Chargers,"$300,000"
CL White,Deccan Chargers,"$1,100,000"
DT Christian,Deccan Chargers,"$900,000"
DW Steyn,Deccan Chargers,"$1,200,000"
I Sharma,Deccan Chargers,"$450,000"
JP Duminy,Deccan Chargers,"$300,000"
KC Sangakkara,Deccan Chargers,"$700,000"
MJ Lumb,Deccan Chargers,"$80,000"
MS Gony,Deccan Chargers,"$290,000"
S Dhawan,Deccan Chargers,"$300,000"
AB Agarkar,Delhi Daredevils,"$210,000"
AB Dinda,Delhi Daredevils,"$375,000"
AB McDonald,Delhi Daredevils,"$80,000"
AJ Finch,Delhi Daredevils,"$300,000"
CA Ingram,Delhi Daredevils,"$100,000"
DA Warner,Delhi Daredevils,"$750,000"
IK Pathan,Delhi Daredevils,"$1,900,000"
JR Hopes,Delhi Daredevils,"$350,000"
M Morkel,Delhi Daredevils,"$475,000"
MS Wade,Delhi Daredevils,"$100,000"
NV Ojha,Delhi Daredevils,"$270,000"
RE van der Merwe,Delhi Daredevils,"$50,000"
TR Birt,Delhi Daredevils,"$20,000"
Y Venugopal Rao,Delhi Daredevils,"$700,000"
AC Gilchrist,Kings XI Punjab,"$900,000"
AM Nayar,Kings XI Punjab,"$800,000"
DJ Hussey,Kings XI Punjab,"$1,400,000"
KD Karthik,Kings XI Punjab,"$900,000"
NJ Rimmington,Kings XI Punjab,"$20,000"
P Kumar,Kings XI Punjab,"$800,000"
PP Chawla,Kings XI Punjab,"$900,000"
R McLaren,Kings XI Punjab,"$250,000"
RJ Harris,Kings XI Punjab,"$325,000"
SE Marsh,Kings XI Punjab,"$400,000"
BB McCullum,Kochi Tuskers Kerala,"$475,000"
BJ Hodge,Kochi Tuskers Kerala,"$425,000"
DPMD Jayawardene,Kochi Tuskers Kerala,"$1,500,000"
M Klinger,Kochi Tuskers Kerala,"$75,000"
M Muralitharan,Kochi Tuskers Kerala,"$1,100,000"
NLTC Perera,Kochi Tuskers Kerala,"$80,000"
OA Shah,Kochi Tuskers Kerala,"$200,000"
PA Patel,Kochi Tuskers Kerala,"$290,000"
R Vinay Kumar,Kochi Tuskers Kerala,"$475,000"
RA Jadeja,Kochi Tuskers Kerala,"$950,000"
RP Singh,Kochi Tuskers Kerala,"$500,000"
RR Powar,Kochi Tuskers Kerala,"$180,000"
S Sreesanth,Kochi Tuskers Kerala,"$900,000"
VVS Laxman,Kochi Tuskers Kerala,"$400,000"
B Lee,Kolkata Knight Riders,"$400,000"
BJ Haddin,Kolkata Knight Riders,"$325,000"
EJG Morgan,Kolkata Knight Riders,"$350,000"
G Gambhir,Kolkata Knight Riders,"$2,400,000"
JH Kallis,Kolkata Knight Riders,"$1,100,000"
L Balaji,Kolkata Knight Riders,"$500,000"
MK Tiwary,Kolkata Knight Riders,"$475,000"
MV Boucher,Kolkata Knight Riders,"$325,000"
RN ten Doeschate,Kolkata Knight Riders,"$150,000"
Shakib Al Hasan,Kolkata Knight Riders,"$425,000"
YK Pathan,Kolkata Knight Riders,"$2,100,000"
A Symonds,Mumbai Indians,"$850,000"
AC Blizzard,Mumbai Indians,"$20,000"
DJ Jacobs,Mumbai Indians,"$190,000"
Harbhajan Singh,Mumbai Indians,"$850,000"
JEC Franklin,Mumbai Indians,"$100,000"
