Player,Team,Salary
AT Rayudu,Chennai Super Kings,"$343,750"
DJ Bravo,Chennai Super Kings,"$1,000,000"
DL Chahar,Chennai Super Kings,"$125,000"
DR Shorey,Chennai Super Kings,"$31,250"
F du Plessis,Chennai Super Kings,"$250,000"
Harbhajan Singh,Chennai Super Kings,"$312,500"
Imran Tahir,Chennai Super Kings,"$156,250"
KM Asif,Chennai Super Kings,"$62,500"
KM Jadhav,Chennai Super Kings,"$1,218,750"
KV Sharma,Chennai Super Kings,"$478,000"
L Ngidi,Chennai Super Kings,"$78,130"
M Vijay,Chennai Super Kings,"$312,500"
MJ Santner,Chennai Super Kings,"$78,130"
MM Sharma,Chennai Super Kings,"$714,300"
Monu Kumar,Chennai Super Kings,"$31,250"
MS Dhoni,Chennai Super Kings,"$2,343,750"
RA Jadeja,Chennai Super Kings,"$1,093,750"
SK Raina,Chennai Super Kings,"$1,718,750"
SN Thakur,Chennai Super Kings,"$406,250"
SR Watson,Chennai Super Kings,"$625,000"
SW Billings,Chennai Super Kings,"$156,250"
A Mishra,Delhi Capitals,"$625,000"
Ankush Bains,Delhi Capitals,"$28,600"
AR Patel,Delhi Capitals,"$714,300"
Avesh Khan,Delhi Capitals,"$109,380"
Bandaru Ayyappa,Delhi Capitals,"$28,600"
C Munro,Delhi Capitals,"$296,880"
CA Ingram,Delhi Capitals,"$914,300"
CH Morris,Delhi Capitals,"$1,718,750"
GH Vihari,Delhi Capitals,"$285,700"
HV Patel,Delhi Capitals,"$31,250"
I Sharma,Delhi Capitals,"$157,100"
J Suchith,Delhi Capitals,"$16,667"
Jalaj S Saxena,Delhi Capitals,"$28,600"
K Rabada,Delhi Capitals,"$656,250"
KMA Paul,Delhi Capitals,"$71,400"
Manjot Kalra,Delhi Capitals,"$31,250"
NB Singh,Delhi Capitals,"$28,600"
PP Shaw,Delhi Capitals,"$187,500"
R Tewatia,Delhi Capitals,"$468,750"
RR Pant,Delhi Capitals,"$2,343,750"
S Dhawan,Delhi Capitals,"$812,500"
S Lamichhane,Delhi Capitals,"$31,250"
SE Rutherford,Delhi Capitals,"$285,700"
SS Iyer,Delhi Capitals,"$1,093,750"
TA Boult,Delhi Capitals,"$343,750"
Agnivesh Ayachi,Kings XI Punjab,"$28,600"
AJ Tye,Kings XI Punjab,"$1,125,000"
Arshdeep Singh,Kings XI Punjab,"$28,600"
AS Rajpoot,Kings XI Punjab,"$468,750"
CH Gayle,Kings XI Punjab,"$312,500"
CV Varun,Kings XI Punjab,"$1,200,000"
DA Miller,Kings XI Punjab,"$468,750"
Darshan Nalkande,Kings XI Punjab,"$42,900"
GC Viljoen,Kings XI Punjab,"$107,100"
Harpreet Brar,Kings XI Punjab,"$28,600"
KK Nair,Kings XI Punjab,"$875,000"
KL Rahul,Kings XI Punjab,"$1,718,750"
M Ashwin,Kings XI Punjab,"$28,600"
MA Agarwal,Kings XI Punjab,"$156,250"
Mandeep Singh,Kings XI Punjab,"$218,750"
MC Henriques,Kings XI Punjab,"$142,900"
Mohammed Shami,Kings XI Punjab,"$685,700"
Mujeeb Ur Rahman,Kings XI Punjab,"$625,000"
N Pooran,Kings XI Punjab,"$600,000"
P Simran Singh,Kings XI Punjab,"$685,700"
R Ashwin,Kings XI Punjab,"$1,187,500"
SM Curran,Kings XI Punjab,"$1,028,600"
SN Khan,Kings XI Punjab,"$35,700"
A Nortje,Kolkata Knight Riders,"$28,600"
AD Russell,Kolkata Knight Riders,"$1,328,130"
CA Lynn,Kolkata Knight Riders,"$1,500,000"
CR Brathwaite,Kolkata Knight Riders,"$714,300"
HF Gurney,Kolkata Knight Riders,"$107,100"
JL Denly,Kolkata Knight Riders,"$142,900"
KC Cariappa,Kolkata Knight Riders,"$120,000"
KD Karthik,Kolkata Knight Riders,"$1,156,250"
Kuldeep Yadav,Kolkata Knight Riders,"$906,250"
LH Ferguson,Kolkata Knight Riders,"$228,600"
M Prasidh Krishna,Kolkata Knight Riders,"$15,620"
N Rana,Kolkata Knight Riders,"$531,250"
NS Naik,Kolkata Knight Riders,"$28,600"
PP Chawla,Kolkata Knight Riders,"$656,250"
RK Singh,Kolkata Knight Riders,"$125,000"
RV Uthappa,Kolkata Knight Riders,"$1,000,000"
S Sandeep Warrier,Kolkata Knight Riders,"$16,000"
Shivam Mavi,Kolkata Knight Riders,"$468,750"
Shubman Gill,Kolkata Knight Riders,"$281,250"
SP Narine,Kolkata Knight Riders,"$1,953,130"
SS Mundhe,Kolkata Knight Riders,"$28,600"
Y Prithvi Raj,Kolkata Knight Riders,"$28,600"
AF Milne,Mumbai Indians,"$116,667"
Anmolpreet Singh,Mumbai Indians,"$114,300"
AP Tare,Mumbai Indians,"$31,250"
AS Roy,Mumbai Indians,"$31,250"
BB Sran,Mumbai Indians,"$485,700"
BCJ Cutting,Mumbai Indians,"$343,750"
E Lewis,Mumbai Indians,"$593,750"
HH Pandya,Mumbai Indians,"$1,718,750"
Ishan Kishan,Mumbai Indians,"$968,750"
J Yadav,Mumbai Indians,"$78,130"
JJ Bumrah,Mumbai Indians,"$1,093,750"
JP Behrendorff,Mumbai Indians,"$234,380"
KA Pollard,Mumbai Indians,"$843,750"
KH Pandya,Mumbai Indians,"$1,375,000"
M Markande,Mumbai Indians,"$31,250"
MJ McClenaghan,Mumbai Indians,"$50,000"
Pankaj Jaiswal,Mumbai Indians,"$28,600"
Q de Kock,Mumbai Indians,"$437,500"
Rasikh Salam,Mumbai Indians,"$28,600"
RD Chahar,Mumbai Indians,"$296,880"
RG Sharma,Mumbai Indians,"$2,343,750"
SA Yadav,Mumbai Indians,"$500,000"
SD Lad,Mumbai Indians,"$31,250"
