Player,Team,Salary
GJ Bailey,Chennai Super Kings,"$50,000"
JA Morkel,Chennai Super Kings,"$675,000"
JM Kemp,Chennai Super Kings,"$100,000"
Joginder Sharma,Chennai Super Kings,"$225,000"
M Muralitharan,Chennai Super Kings,"$600,000"
MEK Hussey,Chennai Super Kings,"$250,000"
ML Hayden,Chennai Super Kings,"$375,000"
MS Dhoni,Chennai Super Kings,"$1,500,000"
PA Patel,Chennai Super Kings,"$325,000"
SK Raina,Chennai Super Kings,"$650,000"
T Thushara,Chennai Super Kings,"$140,000"
A Symonds,Deccan Chargers,"$1,350,000"
AC Gilchrist,Deccan Chargers,"$700,000"
DR Smith,Deccan Chargers,"$100,000"
HH Gibbs,Deccan Chargers,"$575,000"
KAJ Roach,Deccan Chargers,"$720,000"
RG Sharma,Deccan Chargers,"$750,000"
RP Singh,Deccan Chargers,"$875,000"
VVS Laxman,Deccan Chargers,"$375,000"
WPUJC Vaas,Deccan Chargers,"$200,000"
AB de Villiers,Delhi Daredevils,"$300,000"
G Gambhir,Delhi Daredevils,"$725,000"
KD Karthik,Delhi Daredevils,"$525,000"
MF Maharoof,Delhi Daredevils,"$225,000"
TM Dilshan,Delhi Daredevils,"$250,000"
B Lee,Kings XI Punjab,"$900,000"
DPMD Jayawardene,Kings XI Punjab,"$475,000"
IK Pathan,Kings XI Punjab,"$925,000"
KC Sangakkara,Kings XI Punjab,"$700,000"
M Kaif,Kings XI Punjab,"$250,000"
PP Chawla,Kings XI Punjab,"$400,000"
RR Powar,Kings XI Punjab,"$170,000"
RS Bopara,Kings XI Punjab,"$450,000"
S Sreesanth,Kings XI Punjab,"$625,000"
YA Abdulla,Kings XI Punjab,"$50,000"
AB Agarkar,Kolkata Knight Riders,"$350,000"
BB McCullum,Kolkata Knight Riders,"$700,000"
DJ Hussey,Kolkata Knight Riders,"$625,000"
I Sharma,Kolkata Knight Riders,"$950,000"
M Kartik,Kolkata Knight Riders,"$425,000"
MK Tiwary,Kolkata Knight Riders,"$675,000"
SE Bond,Kolkata Knight Riders,"$750,000"
CRD Fernando,Mumbai Indians,"$150,000"
Harbhajan Singh,Mumbai Indians,"$850,000"
JP Duminy,Mumbai Indians,"$950,000"
KA Pollard,Mumbai Indians,"$750,000"
ST Jayasuriya,Mumbai Indians,"$975,000"
Z Khan,Mumbai Indians,"$450,000"
AC Voges,Rajasthan Royals,"$50,000"
DR Martyn,Rajasthan Royals,"$100,000"
GC Smith,Rajasthan Royals,"$250,000"
MM Patel,Rajasthan Royals,"$275,000"
SK Warne,Rajasthan Royals,"$450,000"
SR Watson,Rajasthan Royals,"$125,000"
YK Pathan,Rajasthan Royals,"$475,000"
A Kumble,Royal Challengers Bangalore,"$500,000"
CL White,Royal Challengers Bangalore,"$500,000"
DW Steyn,Royal Challengers Bangalore,"$325,000"
EJG Morgan,Royal Challengers Bangalore,"$220,000"
JH Kallis,Royal Challengers Bangalore,"$900,000"
KP Pietersen,Royal Challengers Bangalore,"$1,550,000"
MV Boucher,Royal Challengers Bangalore,"$450,000"
RV Uthappa,Royal Challengers Bangalore,"$800,000"
