Player,Team,Salary
AT Rayudu,Chennai Super Kings,"$343,750"
C Bishnoi,Chennai Super Kings,"$31,250"
DJ Bravo,Chennai Super Kings,"$1,000,000"
DL Chahar,Chennai Super Kings,"$125,000"
DR Shorey,Chennai Super Kings,"$31,250"
F du Plessis,Chennai Super Kings,"$250,000"
Harbhajan Singh,Chennai Super Kings,"$312,500"
Imran Tahir,Chennai Super Kings,"$156,250"
KK Seth,Chennai Super Kings,"$31,250"
KM Asif,Chennai Super Kings,"$62,500"
KM Jadhav,Chennai Super Kings,"$1,218,750"
Kshitiz Sharma,Chennai Super Kings,"$31,250"
KV Sharma,Chennai Super Kings,"$478,000"
KVSharma,Chennai Super Kings,"$781,250"
L Ngidi,Chennai Super Kings,"$78,130"
M Vijay,Chennai Super Kings,"$312,500"
MA Wood,Chennai Super Kings,"$234,380"
MJ Santner,Chennai Super Kings,"$78,130"
Monu Kumar,Chennai Super Kings,"$31,250"
MS Dhoni,Chennai Super Kings,"$2,343,750"
N Jagadeesan,Chennai Super Kings,"$31,250"
RA Jadeja,Chennai Super Kings,"$1,093,750"
SK Raina,Chennai Super Kings,"$1,718,750"
SN Thakur,Chennai Super Kings,"$406,250"
SR Watson,Chennai Super Kings,"$625,000"
SW Billings,Chennai Super Kings,"$156,250"
A Mishra,Delhi Daredevils,"$625,000"
Abhishek Sharma,Delhi Daredevils,"$85,940"
Avesh Khan,Delhi Daredevils,"$109,380"
C Munro,Delhi Daredevils,"$296,880"
CH Morris,Delhi Daredevils,"$1,718,750"
DT Christian,Delhi Daredevils,"$234,380"
G Gambhir,Delhi Daredevils,"$437,500"
GJ Maxwell,Delhi Daredevils,"$1,406,250"
Gurkeerat Singh,Delhi Daredevils,"$117,190"
HV Patel,Delhi Daredevils,"$31,250"
J Yadav,Delhi Daredevils,"$78,130"
JJ Roy,Delhi Daredevils,"$234,380"
K Rabada,Delhi Daredevils,"$656,250"
Manjot Kalra,Delhi Daredevils,"$31,250"
Mohammad Shamo,Delhi Daredevils,"$468,750"
Mohammed Shami,Delhi Daredevils,"$708,000"
NV Ojha,Delhi Daredevils,"$218,750"
PP Shaw,Delhi Daredevils,"$187,500"
R Tewatia,Delhi Daredevils,"$468,750"
RR Pant,Delhi Daredevils,"$2,343,750"
S Lamichhane,Delhi Daredevils,"$31,250"
S Nadeem,Delhi Daredevils,"$500,000"
SS Ghosh,Delhi Daredevils,"$31,250"
SS Iyer,Delhi Daredevils,"$1,093,750"
TA Boult,Delhi Daredevils,"$343,750"
V Shankar,Delhi Daredevils,"$500,000"
AD Nath,Kings XI Punjab,"$156,250"
AJ Finch,Kings XI Punjab,"$968,750"
AJ Tye,Kings XI Punjab,"$1,125,000"
AR Patel,Kings XI Punjab,"$1,953,130"
AS Rajpoot,Kings XI Punjab,"$468,750"
B Brainder Sran,Kings XI Punjab,"$343,750"
B Dwarshuis,Kings XI Punjab,"$218,750"
BB Sran,Kings XI Punjab,"$180,000"
CH Gayle,Kings XI Punjab,"$312,500"
DA Miller,Kings XI Punjab,"$468,750"
KK Nair,Kings XI Punjab,"$875,000"
KL Rahul,Kings XI Punjab,"$1,718,750"
MA Agarwal,Kings XI Punjab,"$156,250"
Manzoor Dar,Kings XI Punjab,"$31,250"
Mayank Dagar,Kings XI Punjab,"$31,250"
MK Tiwary,Kings XI Punjab,"$156,250"
MM Sharma,Kings XI Punjab,"$375,000"
MP Stoinis,Kings XI Punjab,"$968,750"
Mujeeb Ur Rahman,Kings XI Punjab,"$625,000"
P Sahu,Kings XI Punjab,"$31,250"
R Ashwin,Kings XI Punjab,"$1,187,500"
Yuvraj Singh,Kings XI Punjab,"$312,500"
AD Russell,Kolkata Knight Riders,"$1,328,130"
AV Wankhede,Kolkata Knight Riders,"$31,250"
CA Lynn,Kolkata Knight Riders,"$1,500,000"
CS Delport,Kolkata Knight Riders,"$46,880"
IR Jaggi,Kolkata Knight Riders,"$31,250"
JPL Scantlebury-Sear,Kolkata Knight Riders,"$46,880"
KD Karthik,Kolkata Knight Riders,"$1,156,250"
KL Nagarkoti,Kolkata Knight Riders,"$500,000"
Kuldeep Yadav,Kolkata Knight Riders,"$906,250"
M Prasidh Krishna,Kolkata Knight Riders,"$15,620"
MA Starc,Kolkata Knight Riders,"$1,468,750"
MG Johnson,Kolkata Knight Riders,"$312,500"
N Rana,Kolkata Knight Riders,"$531,250"
PP Chawla,Kolkata Knight Riders,"$656,250"
R Vinay Kumar,Kolkata Knight Riders,"$156,250"
RK Singh,Kolkata Knight Riders,"$125,000"
RV Uthappa,Kolkata Knight Riders,"$1,000,000"
Shivam Mavi,Kolkata Knight Riders,"$468,750"
Shubman Gill,Kolkata Knight Riders,"$281,250"
SP Narine,Kolkata Knight Riders,"$1,953,130"
A Dananjaya,Mumbai Indians,"$78,130"
AP Tare,Mumbai Indians,"$31,250"
AS Roy,Mumbai Indians,"$31,250"
BCJ Cutting,Mumbai Indians,"$343,750"
E Lewis,Mumbai Indians,"$593,750"
HH Pandya,Mumbai Indians,"$1,718,750"
Ishan Kishan,Mumbai Indians,"$968,750"
JJ Bumrah,Mumbai Indians,"$1,093,750"
JP Behrendorff,Mumbai Indians,"$234,380"
JP Duminy,Mumbai Indians,"$156,250"
KA Pollard,Mumbai Indians,"$843,750"
KH Pandya,Mumbai Indians,"$1,375,000"
M Markande,Mumbai Indians,"$31,250"
MD Nidheesh,Mumbai Indians,"$31,250"
MJ McClenaghan,Mumbai Indians,"$50,000"
Mohsin Khan,Mumbai Indians,"$31,250"
Mustafizur Rahman,Mumbai Indians,"$343,750"
PJ Cummins,Mumbai Indians,"$843,750"
PJ Sangwan,Mumbai Indians,"$234,380"
RD Chahar,Mumbai Indians,"$296,880"
RG Sharma,Mumbai Indians,"$2,343,750"
SA Yadav,Mumbai Indians,"$500,000"
SD Lad,Mumbai Indians,"$31,250"
SR Lumba,Mumbai Indians,"$31,250"
SS Tiwary,Mumbai Indians,"$125,000"
Tajinder Singh,Mumbai Indians,"$85,940"
AM Rahane,Rajasthan Royals,"$625,000"
Ankit Sharma,Rajasthan Royals,"$31,250"
Anureet Singh,Rajasthan Royals,"$46,880"
AV Birla,Rajasthan Royals,"$46,880"
B Laughlin,Rajasthan Royals,"$78,130"
BA Stokes,Rajasthan Royals,"$1,953,130"
DJM Short,Rajasthan Royals,"$625,000"
DS Kulkarni,Rajasthan Royals,"$117,190"
IS Sodhi,Rajasthan Royals,"$69,573"
Jatin S Saxena,Rajasthan Royals,"$31,250"
JC Archer,Rajasthan Royals,"$1,125,000"
JC Buttler,Rajasthan Royals,"$687,500"
JD Unadkat,Rajasthan Royals,"$1,796,880"
K Gowtham,Rajasthan Royals,"$968,750"
MK Lomror,Rajasthan Royals,"$31,250"
P Chopra,Rajasthan Royals,"$31,250"
PVD Chameera,Rajasthan Royals,"$78,130"
RA Tripathi,Rajasthan Royals,"$531,250"
S Gopal,Rajasthan Royals,"$31,250"
S Midhun,Rajasthan Royals,"$31,250"
SPD Smith,Rajasthan Royals,"$1,953,130"
STR Binny,Rajasthan Royals,"$78,130"
SV Samson,Rajasthan Royals,"$1,250,000"
Zahir Khan,Rajasthan Royals,"$93,750"
