Player,Team,Salary
AT Rayudu,Chennai Super Kings,"$343,750"
DJ Bravo,Chennai Super Kings,"$1,000,000"
DL Chahar,Chennai Super Kings,"$125,000"
F du Plessis,Chennai Super Kings,"$250,000"
Harbhajan Singh,Chennai Super Kings,"$312,500"
Imran Tahir,Chennai Super Kings,"$156,250"
JR Hazlewood,Chennai Super Kings,"$285,700"
KM Asif,Chennai Super Kings,"$62,500"
KM Jadhav,Chennai Super Kings,"$1,218,750"
KV Sharma,Chennai Super Kings,"$478,000"
L Ngidi,Chennai Super Kings,"$78,130"
M Vijay,Chennai Super Kings,"$312,500"
MJ Santner,Chennai Super Kings,"$78,130"
Monu Kumar,Chennai Super Kings,"$31,250"
MS Dhoni,Chennai Super Kings,"$2,343,750"
N Jagadeesan,Chennai Super Kings,"$31,250"
PP Chawla,Chennai Super Kings,"$964,300"
RA Jadeja,Chennai Super Kings,"$1,093,750"
RD Gaikwad,Chennai Super Kings,"$28,600"
SK Raina,Chennai Super Kings,"$1,718,750"
SM Curran,Chennai Super Kings,"$785,700"
SN Thakur,Chennai Super Kings,"$406,250"
SR Watson,Chennai Super Kings,"$625,000"
A Mishra,Delhi Capitals,"$625,000"
A Nortje,Delhi Capitals,"$28,600"
AM Rahane,Delhi Capitals,"$760,000"
AR Patel,Delhi Capitals,"$714,300"
AT Carey,Delhi Capitals,"$342,900"
Avesh Khan,Delhi Capitals,"$109,380"
CR Woakes,Delhi Capitals,"$214,300"
HV Patel,Delhi Capitals,"$31,250"
I Sharma,Delhi Capitals,"$157,100"
JJ Roy,Delhi Capitals,"$214,300"
K Rabada,Delhi Capitals,"$656,250"
KMA Paul,Delhi Capitals,"$71,400"
Lalit Yadav,Delhi Capitals,"$28,600"
MM Sharma,Delhi Capitals,"$71,400"
MP Stoinis,Delhi Capitals,"$685,700"
P Dubey,Delhi Capitals,"$15,000"
PP Shaw,Delhi Capitals,"$187,500"
R Ashwin,Delhi Capitals,"$1,100,000"
RR Pant,Delhi Capitals,"$2,343,750"
S Dhawan,Delhi Capitals,"$812,500"
S Lamichhane,Delhi Capitals,"$31,250"
SO Hetmyer,Delhi Capitals,"$1,107,100"
SS Iyer,Delhi Capitals,"$1,093,750"
TU Deshpande,Delhi Capitals,"$28,600"
Arshdeep Singh,Kings XI Punjab,"$28,600"
CH Gayle,Kings XI Punjab,"$312,500"
CJ Jordan,Kings XI Punjab,"$428,600"
Darshan Nalkande,Kings XI Punjab,"$42,900"
DJ Hooda,Kings XI Punjab,"$71,400"
GC Viljoen,Kings XI Punjab,"$107,100"
GJ Maxwell,Kings XI Punjab,"$1,535,700"
Harpreet Brar,Kings XI Punjab,"$28,600"
Ishan Porel,Kings XI Punjab,"$28,600"
J Suchith,Kings XI Punjab,"$29,000"
JDS Neesham,Kings XI Punjab,"$71,400"
K Gowtham,Kings XI Punjab,"$900,000"
KK Nair,Kings XI Punjab,"$875,000"
KL Rahul,Kings XI Punjab,"$1,718,750"
M Ashwin,Kings XI Punjab,"$28,600"
MA Agarwal,Kings XI Punjab,"$156,250"
Mandeep Singh,Kings XI Punjab,"$218,750"
Mohammed Shami,Kings XI Punjab,"$685,700"
Mujeeb Ur Rahman,Kings XI Punjab,"$625,000"
N Pooran,Kings XI Punjab,"$600,000"
Prabhsimran Singh,Kings XI Punjab,"$78,600"
Ravi Bishnoi,Kings XI Punjab,"$285,700"
SN Khan,Kings XI Punjab,"$35,700"
SS Cottrell,Kings XI Punjab,"$1,214,300"
Tajinder Singh,Kings XI Punjab,"$85,940"
AD Russell,Kolkata Knight Riders,"$1,328,130"
CJ Green,Kolkata Knight Riders,"$28,600"
CV Varun,Kolkata Knight Riders,"$1,200,000"
EJG Morgan,Kolkata Knight Riders,"$750,000"
HF Gurney,Kolkata Knight Riders,"$107,100"
KD Karthik,Kolkata Knight Riders,"$1,156,250"
KL Nagarkoti,Kolkata Knight Riders,"$500,000"
Kuldeep Yadav,Kolkata Knight Riders,"$906,250"
LH Ferguson,Kolkata Knight Riders,"$228,600"
M Prasidh Krishna,Kolkata Knight Riders,"$15,620"
N Rana,Kolkata Knight Riders,"$531,250"
NS Naik,Kolkata Knight Riders,"$28,600"
PJ Cummins,Kolkata Knight Riders,"$2,214,300"
PV Tambe,Kolkata Knight Riders,"$28,600"
RA Tripathi,Kolkata Knight Riders,"$85,700"
RK Singh,Kolkata Knight Riders,"$125,000"
S Sandeep Warrier,Kolkata Knight Riders,"$16,000"
SD Lad,Kolkata Knight Riders,"$29,000"
Shivam Mavi,Kolkata Knight Riders,"$468,750"
Shubman Gill,Kolkata Knight Riders,"$281,250"
SP Narine,Kolkata Knight Riders,"$1,953,130"
T Banton,Kolkata Knight Riders,"$142,900"
Anmolpreet Singh,Mumbai Indians,"$114,300"
AP Tare,Mumbai Indians,"$31,250"
AS Roy,Mumbai Indians,"$31,250"
CA Lynn,Mumbai Indians,"$285,700"
Digvijay Deshmukh,Mumbai Indians,"$28,600"
DS Kulkarni,Mumbai Indians,"$110,000"
HH Pandya,Mumbai Indians,"$1,718,750"
Ishan Kishan,Mumbai Indians,"$968,750"
J Yadav,Mumbai Indians,"$78,130"
JJ Bumrah,Mumbai Indians,"$1,093,750"
JL Pattinson,Mumbai Indians,"$100,000"
KA Pollard,Mumbai Indians,"$843,750"
KH Pandya,Mumbai Indians,"$1,375,000"
MJ McClenaghan,Mumbai Indians,"$50,000"
Mohsin Khan,Mumbai Indians,"$28,600"
NM Coulter-Nile,Mumbai Indians,"$1,142,900"
Q de Kock,Mumbai Indians,"$437,500"
RD Chahar,Mumbai Indians,"$296,880"
RG Sharma,Mumbai Indians,"$2,343,750"
